Date,MinTemp,MaxTemp,Precipitation,Sunshine,MaxWindDir,MaxWindSpeed,MaxWindTime,9amTemp,9amHumidity,9amCloud,9amWindDir,9amWindSpeed,3pmTemp,3pmHumidity,3pmCloud,3pmWindDir,3pmWindSpeed,WeatherType
2024-08-3,6.8,14.5,0.0,0.2,N,26.0,08:16,11.5,62,7,N,13,13.5,57,7.0,S,7,Cloudy
2024-08-7,8.2,17.9,0.0,8.1,N,35.0,15:53,10.8,74,7,N,13,16.3,52,5.0,N,17,Windy
2024-08-8,9.6,14.0,0.0,1.2,N,50.0,10:38,11.9,62,7,N,24,13.4,60,7.0,N,22,Windy
2024-08-16,12.1,16.6,0.0,1.0,NNW,43.0,09:43,16.1,77,7,N,19,16.1,65,7.0,NNW,15,Cloudy
2024-08-17,10.3,15.0,0.8,1.7,S,20.0,13:42,11.4,83,8,N,9,14.6,60,7.0,SW,9,Cloudy
2024-08-19,6.2,18.6,0.2,8.9,N,33.0,13:43,8.0,100,7,NE,9,17.8,58,1.0,N,19,Windy
2024-08-20,7.8,17.9,0.4,3.6,NNW,50.0,11:04,16.5,65,7,N,13,15.5,73,7.0,NNE,17,Windy
2024-08-23,10.8,18.9,0.0,1.9,N,48.0,22:34,13.8,71,7,N,17,18.1,53,7.0,N,19,Windy
2024-08-27,12.4,20.2,0.0,1.3,NNW,63.0,16:00,14.7,67,7,NNE,17,19.1,51,7.0,N,33,Cloudy
2024-08-29,11.1,17.6,0.8,3.7,N,65.0,23:47,12.4,67,7,NNW,15,15.7,57,6.0,N,20,Windy
2024-09-11,11.8,19.6,0.0,1.8,SSW,33.0,20:52,16.2,59,7,SW,6,14.5,85,7.0,S,6,Windy
2024-09-12,9.3,14.3,8.2,10.2,SSW,35.0,13:25,12.6,53,7,SE,15,13.6,60,3.0,SSW,17,Windy
2024-09-14,9.1,10.8,3.4,1.8,S,46.0,12:30,9.2,88,7,SSW,17,9.7,66,7.0,S,11,Rainy
2024-09-15,5.9,13.0,2.2,7.5,SSW,35.0,15:18,10.5,61,5,SE,11,12.1,52,4.0,SSW,19,Windy
2024-09-16,8.8,14.4,0.0,1.2,SSW,43.0,11:32,11.9,63,5,WSW,13,13.7,71,7.0,SW,11,Windy
2024-09-19,10.9,16.4,0.4,6.6,NW,43.0,10:02,13.8,59,7,WNW,13,14.0,59,7.0,WSW,15,Windy
2024-09-20,8.7,18.3,1.4,2.7,W,50.0,18:15,12.7,61,7,NNW,13,17.6,45,7.0,NNW,15,Windy
2024-09-21,10.9,17.5,6.4,2.8,NW,39.0,14:25,12.4,69,7,NW,13,17.0,45,7.0,NNW,15,Rainy
2024-09-22,11.6,20.3,0.2,7.1,WNW,33.0,11:02,14.7,63,7,NW,9,19.9,40,7.0,WNW,11,Windy
